SURVEY_CODE,SURVEY_CLASS
5,5
1,6
0,1
5,6
5,5
0,1
5,6
5,6
0,1
5,5
5,0
5,6
1,6
5,6
5,6
5,6
5,5
0,1
5,5
0,1
0,1
0,1
5,5
1,6
5,5
5,6
5,6
1,6
1,6
5,6
1,6
1,6
0,1
5,6
5,5
5,5
5,6
5,5
0,1
5,5
5,6
0,1
5,5
5,5
0,1
5,5
0,1
0,1
5,5
5,6
5,6
5,5
1,6
1,6
5,6
1,6
0,1
0,1
1,6
5,6
0,1
5,6
5,6
0,1
5,5
5,6
0,1
0,1
0,1
5,6
1,6
1,6
1,6
5,6
1,6
1,6
5,6
0,1
5,6
5,6
5,5
5,6
5,6
5,5
1,6
5,5
1,6
5,5
5,6
0,1
5,6
5,6
5,6
5,5
5,5
5,6
5,6
5,5
5,5
5,6
0,1
5,6
5,5
0,1
1,6
1,6
1,6
5,6
1,6
5,6
5,6
5,5
5,5
0,1
5,6
5,6
5,5
5,6
1,6
5,6
0,1
5,5
5,5
5,6
1,1
5,5
5,5
5,5
5,5
5,6
5,5
5,5
0,1
5,5
1,6
1,6
3,6
1,6
5,5
5,5
1,6
5,6
1,6
5,6
1,6
5,6
5,6
1,6
5,6
5,5
5,5
5,5
5,6
5,6
3,6
5,6
5,5
5,5
5,5
5,5
5,5
0,1
0,0
0,1
5,6
1,6
1,6
1,6
1,6
5,6
5,5
5,6
5,6
5,5
5,5
0,1
5,1
5,5
0,1
0,1
5,5
5,5
0,1
0,1
5,5
0,1
0,1
5,5
5,6
5,6
5,6
0,0
1,6
5,6
5,6
0,1
5,6
5,6
5,6
2,6
5,4
5,5
5,6
0,1
0,1
0,1
5,6
5,6
5,5
5,5
5,5
5,5
5,3
0,1
5,6
5,6
1,4
0,1
5,4
5,4
5,6
0,1
5,6
5,6
5,5
0,1
5,6
5,6
5,6
5,5
5,6
2,6
8,1
0,1
0,1
5,6
5,5
5,5
5,5
5,6
5,6
5,6
5,6
5,6
5,6
5,6
1,6
5,6
5,6
1,6
1,6
5,6
5,5
5,6
5,6
0,1
5,6
0,1
0,1
5,5
5,6
5,5
5,5
5,5
5,5
0,1
5,5
5,5
1,4
4,1
5,6
4,1
5,5
5,6
9,1
8,1
5,6
5,5
5,6
0,1
5,5
5,6
5,5
5,5
5,5
5,0
2,6
5,6
5,6
5,6
5,6
5,6
5,5
5,6
5,1
5,6
5,5
5,5
1,1
5,5
0,1
1,6
1,6
5,6
1,6
5,6
5,5
1,6
1,6
5,5
4,3
5,5
5,6
0,1
0,1
5,6
5,5
5,5
5,6
5,6
5,6
5,6
5,6
1,6
1,6
5,6
5,6
5,6
5,6
5,6
0,1
5,6
3,1
0,1
0,1
5,5
0,1
5,5
5,5
4,1
0,1
0,1
5,6
5,6
1,6
5,5
5,6
5,6
5,1
5,3
5,5
4,1
5,6
5,3
5,5
4,1
1,1
5,5
5,5
5,6
1,5
5,5
5,5
5,6
5,6
1,6
5,4
5,6
5,6
5,6
1,6
1,5
5,5
1,6
5,6
5,6
5,5
1,6
5,5
1,6
5,6
2,6
5,5
5,6
5,5
5,5
5,5
5,5
5,5
0,0
5,5
5,4
5,6
5,6
5,6
5,6
5,6
5,6
1,6
1,6
5,6
5,5
5,6
5,6
1,6
1,6
5,6
5,6
5,5
5,6
5,5
1,6
5,6
1,6
5,6
5,6
2,6
3,6
3,6
1,6
5,6
5,6
5,6
5,5
5,6
5,5
5,0
5,5
5,2
1,5
5,2
0,0
1,6
5,5
5,5
5,6
5,6
5,6
5,6
5,5
5,6
5,5
0,1
5,6
1,2
1,6
0,0
1,6
1,6
5,6
3,6
